player_name,Over Assists - Price,Over Assists - Point,Under Assists - Price,Under Assists - Point,Over Blocks - Price,Over Blocks - Point,Under Blocks - Price,Under Blocks - Point,Over Points - Price,Over Points - Point,Under Points - Price,Under Points - Point,Over Rebounds - Price,Over Rebounds - Point,Under Rebounds - Price,Under Rebounds - Point,Over Steals - Price,Over Steals - Point,Under Steals - Price,Under Steals - Point,Over Threes - Price,Over Threes - Point,Under Threes - Price,Under Threes - Point
A.J. Green,-166.0,1.5,130.0,1.5,,,,,-106.0,8.5,-125.0,8.5,100.0,2.5,-130.0,2.5,,,,,135.0,2.5,-175.0,2.5
Aaron Gordon,-120.0,2.5,-110.0,2.5,200.0,0.5,-300.0,0.5,-125.0,15.5,-105.0,15.5,-110.0,5.5,-120.0,5.5,,,,,145.0,1.5,-188.0,1.5
Aaron Nesmith,-190.0,0.5,145.0,0.5,165.0,0.5,-235.0,0.5,-108.0,12.5,-122.0,12.5,102.0,4.5,-136.0,4.5,,,,,146.0,2.5,-198.0,2.5
Al Horford,124.0,2.5,-160.0,2.5,165.0,1.5,-215.0,1.5,-112.0,8.5,-118.0,8.5,-130.0,7.5,-102.0,7.5,,,,,-105.0,1.5,-125.0,1.5
Alperen Sengun,105.0,4.5,-135.0,4.5,110.0,0.5,-155.0,0.5,-125.0,19.5,-105.0,19.5,-135.0,10.5,105.0,10.5,,,,,,,,
Amen Thompson,-166.0,3.5,130.0,3.5,180.0,1.5,-250.0,1.5,-110.0,12.5,-120.0,12.5,-110.0,7.5,-120.0,7.5,,,,,210.0,0.5,-285.0,0.5
Andrew Nembhard,-114.0,4.5,-114.0,4.5,425.0,0.5,-800.0,0.5,-118.0,11.5,-112.0,11.5,-110.0,3.5,-120.0,3.5,162.0,1.5,-220.0,1.5,116.0,1.5,-154.0,1.5
Anthony Black,135.0,1.5,-185.0,1.5,,,,,-136.0,6.5,102.0,6.5,-120.0,2.5,-110.0,2.5,,,,,-130.0,0.5,100.0,0.5
Anthony Edwards,110.0,5.5,-140.0,5.5,-105.0,0.5,-135.0,0.5,-120.0,28.5,-110.0,28.5,-120.0,6.5,-110.0,6.5,,,,,-145.0,3.5,114.0,3.5
Ausar Thompson,105.0,1.5,-135.0,1.5,100.0,0.5,-140.0,0.5,110.0,8.5,-140.0,8.5,-105.0,4.5,-125.0,4.5,,,,,,,,
Austin Reaves,-160.0,3.5,124.0,3.5,120.0,0.5,-165.0,0.5,-130.0,18.5,100.0,18.5,124.0,5.5,-160.0,5.5,,,,,-166.0,2.5,130.0,2.5
Ben Sheppard,165.0,1.5,-225.0,1.5,,,,,-118.0,3.5,-110.0,3.5,-125.0,2.5,-105.0,2.5,,,,,-200.0,0.5,145.0,0.5
Bennedict Mathurin,160.0,1.5,-220.0,1.5,,,,,-104.0,9.5,-128.0,9.5,-140.0,2.5,106.0,2.5,,,,,-200.0,0.5,154.0,0.5
Bobby Portis,-125.0,1.5,-110.0,1.5,120.0,0.5,-165.0,0.5,-110.0,13.5,-120.0,13.5,-108.0,8.5,-122.0,8.5,,,,,140.0,1.5,-188.0,1.5
Bogdan Bogdanovic,-132.0,1.5,102.0,1.5,,,,,-112.0,4.5,-115.0,4.5,-123.0,1.5,-105.0,1.5,,,,,-135.0,0.5,105.0,0.5
Brandin Podziemski,-105.0,3.5,-125.0,3.5,195.0,0.5,-285.0,0.5,-110.0,13.5,-120.0,13.5,105.0,5.5,-135.0,5.5,,,,,-154.0,1.5,120.0,1.5
Brook Lopez,-110.0,0.5,-120.0,0.5,-120.0,0.5,-110.0,0.5,-102.0,6.5,-130.0,6.5,-114.0,2.5,-114.0,2.5,,,,,-166.0,0.5,130.0,0.5
